;Kc;Cle;Sky category;CIE Sky Type
90;0.6;0.15;I;7
91;0.65;0.15;I;7
92;0.7;0.15;I;7
93;0.75;0.15;I;7
94;0.8;0.15;I;7
95;0.85;0.15;I;7
96;0.9;0.15;I;7
97;0.95;0.15;;5
98;1.0;0.15;;5
99;1.05;0.15;;5
100;1.1;0.15;;5
101;1.15;0.15;;5
102;1.2;0.15;;5
103;1.25;0.15;;5
104;0.01;0.2;IO;4
105;0.05;0.2;IO;4
106;0.1;0.2;IO;4
107;0.15;0.2;IO;4
108;0.2;0.2;IO;4
109;0.25;0.2;IO;4
110;0.3;0.2;I;7
111;0.35;0.2;I;7
112;0.4;0.2;I;7
113;0.45;0.2;I;7
114;0.5;0.2;I;7
115;0.55;0.2;I;7
116;0.6;0.2;I;7
117;0.65;0.2;I;7
118;0.7;0.2;I;7
119;0.75;0.2;I;7
120;0.8;0.2;I;7
121;0.85;0.2;I;7
122;0.9;0.2;I;7
123;0.95;0.2;I;7
124;1.0;0.2;;5
125;1.05;0.2;;5
126;1.1;0.2;;5
127;1.15;0.2;;5
128;1.2;0.2;;5
129;1.25;0.2;;5
130;0.01;0.25;;5
131;0.05;0.25;;5
132;0.1;0.25;;5
133;0.15;0.25;;5
134;0.2;0.25;;5
135;0.25;0.25;IO;4
136;0.3;0.25;I;7
137;0.35;0.25;I;7
138;0.4;0.25;I;7
139;0.45;0.25;I;7
140;0.5;0.25;I;7
141;0.55;0.25;I;7
142;0.6;0.25;I;7
143;0.65;0.25;I;7
144;0.7;0.25;I;7
145;0.75;0.25;I;7
146;0.8;0.25;I;7
147;0.85;0.25;I;7
148;0.9;0.25;I;7
149;0.95;0.25;I;7
150;1.0;0.25;I;7
151;1.05;0.25;I;7
152;1.1;0.25;I;7
153;1.15;0.25;;5
154;1.2;0.25;;5
155;1.25;0.25;;5
156;0.01;0.3;;5
157;0.05;0.3;;5
158;0.1;0.3;;5
159;0.15;0.3;;5
160;0.2;0.3;;5
161;0.25;0.3;I;7
162;0.3;0.3;I;7
163;0.35;0.3;I;7
164;0.4;0.3;I;7
165;0.45;0.3;I;7
166;0.5;0.3;I;7
167;0.55;0.3;I;7
168;0.6;0.3;I;7
169;0.65;0.3;I;7
170;0.7;0.3;I;7
171;0.75;0.3;I;7
172;0.8;0.3;I;7
173;0.85;0.3;I;7
174;0.9;0.3;I;7
175;0.95;0.3;I;7
176;1.0;0.3;I;7
177;1.05;0.3;I;7
178;1.1;0.3;I;7
179;1.15;0.3;I;7
180;1.2;0.3;;5
181;1.25;0.3;;5
182;0.01;0.35;;5
183;0.05;0.35;;5
184;0.1;0.35;;5
185;0.15;0.35;;5
186;0.2;0.35;;5
187;0.25;0.35;;5
188;0.3;0.35;I;7
189;0.35;0.35;I;7
190;0.4;0.35;I;7
191;0.45;0.35;I;7
192;0.5;0.35;I;7
193;0.55;0.35;I;7
194;0.6;0.35;I;7
195;0.65;0.35;I;7
196;0.7;0.35;I;7
197;0.75;0.35;I;7
198;0.8;0.35;I;7
199;0.85;0.35;I;7
200;0.9;0.35;I;7
201;0.95;0.35;I;7
202;1.0;0.35;I;7
203;1.05;0.35;I;7
204;1.1;0.35;I;7
205;1.15;0.35;I;7
206;1.2;0.35;;5
207;1.25;0.35;;5
208;0.01;0.4;;5
209;0.05;0.4;;5
210;0.1;0.4;;5
211;0.15;0.4;;5
212;0.2;0.4;;5
213;0.25;0.4;;5
214;0.3;0.4;I;7
215;0.35;0.4;I;7
216;0.4;0.4;I;7
217;0.45;0.4;I;7
218;0.5;0.4;I;7
219;0.55;0.4;I;7
220;0.6;0.4;I;7
221;0.65;0.4;I;7
222;0.7;0.4;I;7
223;0.75;0.4;I;7
224;0.8;0.4;I;7
225;0.85;0.4;I;7
226;0.9;0.4;I;7
227;0.95;0.4;I;7
228;1.0;0.4;I;7
229;1.05;0.4;I;7
230;1.1;0.4;I;7
231;1.15;0.4;I;7
232;1.2;0.4;I;7
233;1.25;0.4;;5
234;0.01;0.45;;5
235;0.05;0.45;;5
236;0.1;0.45;;5
237;0.15;0.45;;5
238;0.2;0.45;;5
239;0.25;0.45;;5
240;0.3;0.45;;5
241;0.35;0.45;I;7
242;0.4;0.45;I;7
243;0.45;0.45;I;7
244;0.5;0.45;I;7
245;0.55;0.45;I;7
246;0.6;0.45;I;7
247;0.65;0.45;I;7
248;0.7;0.45;I;7
249;0.75;0.45;I;7
250;0.8;0.45;I;7
251;0.85;0.45;I;7
252;0.9;0.45;I;7
253;0.95;0.45;I;7
254;1.0;0.45;I;7
255;1.05;0.45;I;7
256;1.1;0.45;I;7
257;1.15;0.45;I;7
258;1.2;0.45;I;7
259;1.25;0.45;I;7
260;0.01;0.5;;5
261;0.05;0.5;;5
262;0.1;0.5;;5
263;0.15;0.5;;5
264;0.2;0.5;;5
265;0.25;0.5;;5
266;0.3;0.5;;5
267;0.35;0.5;;5
268;0.4;0.5;;5
269;0.45;0.5;I;7
270;0.5;0.5;I;7
271;0.55;0.5;I;7
272;0.6;0.5;I;7
273;0.65;0.5;I;7
274;0.7;0.5;I;7
275;0.75;0.5;I;7
276;0.8;0.5;I;7
277;0.85;0.5;I;7
278;0.9;0.5;I;7
279;0.95;0.5;IC;11
280;1.0;0.5;IC;11
281;1.05;0.5;IC;11
282;1.1;0.5;I;7
283;1.15;0.5;I;7
284;1.2;0.5;I;7
285;1.25;0.5;I;7
286;0.01;0.55;;5
287;0.05;0.55;;5
288;0.1;0.55;;5
289;0.15;0.55;;5
290;0.2;0.55;;5
291;0.25;0.55;;5
292;0.3;0.55;;5
293;0.35;0.55;;5
294;0.4;0.55;;5
295;0.45;0.55;;5
296;0.5;0.55;I;7
297;0.55;0.55;I;7
298;0.6;0.55;I;7
299;0.65;0.55;I;7
300;0.7;0.55;I;7
301;0.75;0.55;I;7
302;0.8;0.55;I;7
303;0.85;0.55;IC;11
304;0.9;0.55;IC;11
305;0.95;0.55;IC;11
306;1.0;0.55;IC;11
307;1.05;0.55;IC;11
308;1.1;0.55;IC;11
309;1.15;0.55;IC;11
310;1.2;0.55;I;7
311;1.25;0.55;I;7
312;0.01;0.6;;5
313;0.05;0.6;;5
314;0.1;0.6;;5
315;0.15;0.6;;5
316;0.2;0.6;;5
317;0.25;0.6;;5
318;0.3;0.6;;5
319;0.35;0.6;;5
320;0.4;0.6;;5
321;0.45;0.6;;5
322;0.5;0.6;I;7
323;0.55;0.6;I;7
324;0.6;0.6;I;7
325;0.65;0.6;I;7
326;0.7;0.6;I;7
327;0.75;0.6;I;7
328;0.8;0.6;I;7
329;0.85;0.6;IC;11
330;0.9;0.6;IC;11
331;0.95;0.6;IC;11
332;1.0;0.6;IC;11
333;1.05;0.6;IC;11
334;1.1;0.6;IC;11
335;1.15;0.6;IC;11
336;1.2;0.6;I;7
337;1.25;0.6;I;7
338;0.01;0.65;;5
339;0.05;0.65;;5
340;0.1;0.65;;5
341;0.15;0.65;;5
342;0.2;0.65;;5
343;0.25;0.65;;5
344;0.3;0.65;;5
345;0.35;0.65;;5
346;0.4;0.65;;5
347;0.45;0.65;;5
348;0.5;0.65;;5
349;0.55;0.65;I;7
350;0.6;0.65;I;7
351;0.65;0.65;I;7
352;0.7;0.65;I;7
353;0.75;0.65;I;7
354;0.8;0.65;IC;11
355;0.85;0.65;IC;11
356;0.9;0.65;IC;11
357;0.95;0.65;IC;11
358;1.0;0.65;IC;11
359;1.05;0.65;IC;11
360;1.1;0.65;IC;11
361;1.15;0.65;IC;11
362;1.2;0.65;IC;11
363;1.25;0.65;I;7
364;0.01;0.7;;5
365;0.05;0.7;;5
366;0.1;0.7;;5
367;0.15;0.7;;5
368;0.2;0.7;;5
369;0.25;0.7;;5
370;0.3;0.7;;5
371;0.35;0.7;;5
372;0.4;0.7;;5
373;0.45;0.7;;5
374;0.5;0.7;;5
375;0.55;0.7;I;7
376;0.6;0.7;I;7
377;0.65;0.7;I;7
378;0.7;0.7;I;7
379;0.75;0.7;IC;11
380;0.8;0.7;IC;11
381;0.85;0.7;IC;11
382;0.9;0.7;IC;11
383;0.95;0.7;IC;11
384;1.0;0.7;IC;11
385;1.05;0.7;IC;11
386;1.1;0.7;IC;11
387;1.15;0.7;IC;11
388;1.2;0.7;IC;11
389;1.25;0.7;IC;11
390;0.01;0.75;;5
391;0.05;0.75;;5
392;0.1;0.75;;5
393;0.15;0.75;;5
394;0.2;0.75;;5
395;0.25;0.75;;5
396;0.3;0.75;;5
397;0.35;0.75;;5
398;0.4;0.75;;5
399;0.45;0.75;;5
400;0.5;0.75;;5
401;0.55;0.75;;5
402;0.6;0.75;I;7
403;0.65;0.75;I;7
404;0.7;0.75;I;7
405;0.75;0.75;IC;11
406;0.8;0.75;IC;11
407;0.85;0.75;IC;11
408;0.9;0.75;IC;11
409;0.95;0.75;C;13
410;1.0;0.75;C;13
411;1.05;0.75;C;13
412;1.1;0.75;IC;11
413;1.15;0.75;IC;11
414;1.2;0.75;IC;11
415;1.25;0.75;IC;11
416;0.01;0.8;;5
417;0.05;0.8;;5
418;0.1;0.8;;5
419;0.15;0.8;;5
420;0.2;0.8;;5
421;0.25;0.8;;5
422;0.3;0.8;;5
423;0.35;0.8;;5
424;0.4;0.8;;5
425;0.45;0.8;;5
426;0.5;0.8;;5
427;0.55;0.8;;5
428;0.6;0.8;I;7
429;0.65;0.8;I;7
430;0.7;0.8;I;7
431;0.75;0.8;IC;11
432;0.8;0.8;IC;11
433;0.85;0.8;IC;11
434;0.9;0.8;C;13
435;0.95;0.8;C;13
436;1.0;0.8;C;13
437;1.05;0.8;C;13
438;1.1;0.8;C;13
439;1.15;0.8;IC;11
440;1.2;0.8;IC;11
441;1.25;0.8;IC;11
442;0.01;0.85;;5
443;0.05;0.85;;5
444;0.1;0.85;;5
445;0.15;0.85;;5
446;0.2;0.85;;5
447;0.25;0.85;;5
448;0.3;0.85;;5
449;0.35;0.85;;5
450;0.4;0.85;;5
451;0.45;0.85;;5
452;0.5;0.85;;5
453;0.55;0.85;;5
454;0.6;0.85;;5
455;0.65;0.85;I;7
456;0.7;0.85;I;7
457;0.75;0.85;IC;11
458;0.8;0.85;IC;11
459;0.85;0.85;IC;11
460;0.9;0.85;C;13
461;0.95;0.85;C;13
462;1.0;0.85;C;13
463;1.05;0.85;C;13
464;1.1;0.85;C;13
465;1.15;0.85;IC;11
466;1.2;0.85;IC;11
467;1.25;0.85;IC;11
468;0.01;0.9;;5
469;0.05;0.9;;5
470;0.1;0.9;;5
471;0.15;0.9;;5
472;0.2;0.9;;5
473;0.25;0.9;;5
474;0.3;0.9;;5
475;0.35;0.9;;5
476;0.4;0.9;;5
477;0.45;0.9;;5
478;0.5;0.9;;5
479;0.55;0.9;;5
480;0.6;0.9;;5
481;0.65;0.9;;5
482;0.7;0.9;I;7
483;0.75;0.9;IC;11
484;0.8;0.9;IC;11
485;0.85;0.9;IC;11
486;0.9;0.9;C;13
487;0.95;0.9;C;13
488;1.0;0.9;C;13
489;1.05;0.9;C;13
490;1.1;0.9;C;13
491;1.15;0.9;IC;11
492;1.2;0.9;IC;11
493;1.25;0.9;IC;11
494;0.01;0.95;;5
495;0.05;0.95;;5
496;0.1;0.95;;5
497;0.15;0.95;;5
498;0.2;0.95;;5
499;0.25;0.95;;5
500;0.3;0.95;;5
501;0.35;0.95;;5
502;0.4;0.95;;5
503;0.45;0.95;;5
504;0.5;0.95;;5
505;0.55;0.95;;5
506;0.6;0.95;;5
507;0.65;0.95;;5
508;0.7;0.95;I;7
509;0.75;0.95;IC;11
510;0.8;0.95;IC;11
511;0.85;0.95;IC;11
512;0.9;0.95;C;13
513;0.95;0.95;C;13
514;1.0;0.95;C;13
515;1.05;0.95;C;13
516;1.1;0.95;C;13
517;1.15;0.95;IC;11
518;1.2;0.95;IC;11
519;1.25;0.95;;5
520;0.01;1.0;;5
521;0.05;1.0;;5
522;0.1;1.0;;5
523;0.15;1.0;;5
524;0.2;1.0;;5
525;0.25;1.0;;5
526;0.3;1.0;;5
527;0.35;1.0;;5
528;0.4;1.0;;5
529;0.45;1.0;;5
530;0.5;1.0;;5
531;0.55;1.0;;5
532;0.6;1.0;;5
533;0.65;1.0;;5
534;0.7;1.0;;5
535;0.75;1.0;IC;11
536;0.8;1.0;IC;11
537;0.85;1.0;IC;11
538;0.9;1.0;C;13
539;0.95;1.0;C;13
540;1.0;1.0;C;13
541;1.05;1.0;C;13
542;1.1;1.0;C;13
543;1.15;1.0;IC;11
544;1.2;1.0;;5
545;1.25;1.0;;5
546;0.01;1.05;;5
547;0.05;1.05;;5
548;0.1;1.05;;5
549;0.15;1.05;;5
550;0.2;1.05;;5
551;0.25;1.05;;5
552;0.3;1.05;;5
553;0.35;1.05;;5
554;0.4;1.05;;5
555;0.45;1.05;;5
556;0.5;1.05;;5
557;0.55;1.05;;5
558;0.6;1.05;;5
559;0.65;1.05;;5
560;0.7;1.05;;5
561;0.75;1.05;IC;11
562;0.8;1.05;IC;11
563;0.85;1.05;IC;11
564;0.9;1.05;C;13
565;0.95;1.05;C;13
566;1.0;1.05;C;13
567;1.05;1.05;C;13
568;1.1;1.05;C;13
569;1.15;1.05;IC;11
570;1.2;1.05;;5
571;1.25;1.05;;5
572;0.01;1.1;;5
573;0.05;1.1;;5
574;0.1;1.1;;5
575;0.15;1.1;;5
576;0.2;1.1;;5
577;0.25;1.1;;5
578;0.3;1.1;;5
579;0.35;1.1;;5
580;0.4;1.1;;5
581;0.45;1.1;;5
582;0.5;1.1;;5
583;0.55;1.1;;5
584;0.6;1.1;;5
585;0.65;1.1;;5
586;0.7;1.1;;5
587;0.75;1.1;;5
588;0.8;1.1;IC;11
589;0.85;1.1;IC;11
590;0.9;1.1;C;13
591;0.95;1.1;C;13
592;1.0;1.1;C;13
593;1.05;1.1;C;13
594;1.1;1.1;C;13
595;1.15;1.1;IC;11
596;1.2;1.1;;5
597;1.25;1.1;;5
