DAY;VAPOURPRESSURE;PRECIPITATION
20210126;5.5;1
20210127;6.85;6
20210128;10.25;15
20210129;9.9;10
20210130;7.55;9
20210131;6.35;2
20210201;7.7;2
20210202;9.65;5
20210203;10.1;15
20210204;8.55;1
20210205;8.65;0
20210206;8.2;10
20210207;5.4;1
20210208;3.75;1
20210209;2.8;0
20210210;3.0;0
20210211;3.25;0
20210212;2.85;0
20210213;2.4;0
20210214;2.55;0
20210215;6.25;2
20210216;8.4;2
20210217;9.0;0
20210218;8.05;6
20210219;8.45;0
20210220;9.0;0
20210221;7.85;0
20210222;7.8;0
20210223;10.2;0
20210224;10.55;0
20210225;10.1;3
20210226;7.6;1
20210227;6.95;0
20210228;6.95;0
20210301;7.1;0
20210302;6.8;0
20210303;8.35;5
20210304;8.7;7
20210305;4.7;0
20210306;4.4;0
20210307;4.85;0
20210308;5.35;1
20210309;7.65;1
20210310;7.0;1
20210311;8.35;3
20210312;7.4;6
20210313;7.3;5
20210314;7.1;4
20210315;7.4;1
20210316;7.75;6
20210317;7.7;2
20210318;6.95;0
20210319;5.7;0
20210320;5.9;0
20210321;7.1;0
20210322;6.55;0
20210323;6.95;0
20210324;7.4;0
20210325;8.8;0
20210326;7.85;4
20210327;6.75;2
20210328;7.25;0
20210329;7.25;0
20210330;7.2;0
20210331;8.5;0
20210401;9.55;0
20210402;6.95;0
20210403;6.3;0
20210404;6.35;0
20210405;6.0;2
20210406;5.25;3
20210407;4.85;0
20210408;4.65;0
20210409;6.45;2
20210410;9.65;16
20210411;6.45;1
20210412;5.85;1
20210413;5.35;0
20210414;5.3;0
20210415;5.5;0
20210416;5.55;0
20210417;6.25;0
20210418;7.25;0
20210419;8.15;0
20210420;8.2;0
20210421;8.35;0
20210422;6.05;0
20210423;6.35;0
20210424;6.35;0
20210425;5.85;0
20210426;5.6;0
20210427;5.7;0
20210428;6.45;0
20210429;7.65;1
20210430;6.4;0
20210501;6.35;0
20210502;6.3;0
20210503;6.05;1
20210504;7.5;2
20210505;6.75;2
20210506;7.25;1
20210507;6.5;0
20210508;9.05;0
20210509;12.25;1
20210510;11.2;1
20210511;11.05;3
20210512;8.95;0
20210513;8.6;1
20210514;9.65;4
20210515;10.4;4
20210516;10.35;5
20210517;10.95;11
20210518;10.3;7
20210519;9.95;6
20210520;9.5;0
20210521;8.5;2
20210522;9.85;5
20210523;8.85;1
20210524;9.7;6
20210525;9.45;5
20210526;10.05;7
20210527;10.3;0
20210528;9.95;0
20210529;10.0;0
20210530;10.2;0
20210531;10.4;0
20210601;9.15;0
20210602;13.1;9
20210603;17.8;2
20210604;17.85;14
20210605;14.6;1
20210606;12.7;0
20210607;12.95;0
20210608;13.95;0
20210609;13.6;0
20210610;14.15;0
20210611;15.95;0
20210612;14.3;0
20210613;11.35;0
20210614;12.7;0
20210615;15.05;0
20210616;16.4;0
20210617;18.1;6
20210618;19.4;2
20210619;17.95;8
20210620;17.0;21
20210621;16.6;19
20210622;13.35;9
20210623;13.1;0
20210624;13.9;0
20210625;13.55;0
20210626;16.6;0
20210627;17.35;2
20210628;17.71;4
20210629;15.71;35
20210630;13.71;13
20210701;12.41;0
20210702;13.91;0
20210703;16.71;10
20210704;16.15;14
20210705;15.6;2
20210706;14.15;0
20210707;14.05;0
20210708;14.11;1
20210709;14.11;0
20210710;15.25;6
20210711;14.81;0
20210712;15.71;0
20210713;17.11;32
20210714;16.6;21
20210715;16.9;35
20210716;15.3;0
20210717;15.8;0
20210718;16.55;0
20210719;15.85;0
20210720;15.15;0
20210721;14.0;0
20210722;14.6;0
20210723;14.5;0
20210724;17.05;7
20210725;17.0;1
20210726;16.9;3
20210727;16.25;1
20210728;14.45;1
20210729;12.65;0
20210730;12.9;0
20210731;14.45;4
20210801;14.9;6
20210802;14.4;11
20210803;13.85;5
20210804;14.0;2
20210805;14.8;1
20210806;16.2;11
20210807;14.9;4
20210808;13.45;2
20210809;14.5;10
20210810;15.8;3
20210811;14.65;0
20210812;16.45;0
20210813;15.75;0
20210814;14.0;0
20210815;15.35;0
20210816;13.65;3
20210817;13.85;4
20210818;16.1;1
20210819;14.9;0
20210820;16.1;0
20210821;16.65;5
20210822;16.8;6
20210823;16.8;2
20210824;12.6;0
20210825;12.5;1
20210826;13.95;1
20210827;12.75;1
20210828;14.05;1
20210829;14.45;1
20210830;16.1;1
20210831;14.7;0
20210901;13.3;0
20210902;13.15;0
20210903;14.45;0
20210904;16.0;0
20210905;15.35;0
20210906;14.4;0
20210907;14.4;0
20210908;13.55;0
20210909;18.3;1
20210910;18.85;11
20210911;16.05;0
20210912;14.25;0
20210913;14.65;0
20210914;17.1;5
20210915;17.4;3
20210916;13.7;0
20210917;14.1;0
20210918;13.65;0
20210919;13.75;0
20210920;12.25;0
20210921;9.6;0
20210922;10.55;0
20210923;12.75;0
20210924;15.05;1
20210925;14.05;0
20210926;16.65;0
20210927;14.45;4
20210928;11.5;1
20210929;10.5;7
20210930;9.3;0
20211001;10.8;2
20211002;13.75;8
20211003;13.8;26
20211004;11.05;0
20211005;11.55;5
20211006;11.6;6
20211007;11.8;0
20211008;10.95;0
20211009;10.4;0
20211010;10.5;0
20211011;11.6;0
20211012;10.8;2
20211013;9.75;0
20211014;9.65;0
20211015;10.25;1
20211016;8.35;0
20211017;8.65;0
20211018;10.95;2
20211019;15.4;2
20211020;13.6;11
20211021;9.9;4
20211022;8.4;0
20211023;9.6;0
20211024;8.3;0
20211025;10.3;1
20211026;11.9;0
20211027;12.05;0
20211028;10.45;0
20211029;11.0;3
20211030;12.6;5
20211031;11.9;7
20211101;9.45;0
20211102;9.05;2
20211103;8.45;1
20211104;8.8;2
20211105;9.4;1
20211106;8.15;1
20211107;9.3;1
20211108;8.3;0
20211109;7.5;0
20211110;6.9;0
20211111;7.5;2
20211112;7.45;1
20211113;11.4;4
20211114;10.2;1
20211115;8.55;0
20211116;8.05;0
20211117;9.05;0
20211118;8.95;0
20211119;11.0;0
20211120;9.45;0
20211121;8.55;2
20211122;6.65;0
20211123;7.4;0
20211124;7.85;0
20211125;7.15;1
20211126;7.05;8
20211127;6.55;1
20211128;6.6;2
20211129;6.4;1
20211130;9.3;7
20211201;9.2;8
20211202;6.6;4
20211203;6.6;3
20211204;7.45;7
20211205;7.0;2
20211206;6.75;7
20211207;7.1;2
20211208;6.9;0
20211209;6.8;2
20211210;6.35;12
20211211;7.2;3
20211212;9.45;2
20211213;9.75;0
20211214;9.25;0
20211215;9.9;0
20211216;9.5;0
20211217;8.3;0
20211218;8.25;0
20211219;8.1;0
20211220;6.7;0
20211221;5.05;0
20211222;4.55;1
20211223;6.75;1
20211224;9.5;7
20211225;7.7;4
20211226;8.35;2
20211227;10.25;2
20211228;10.0;8
20211229;11.3;3
20211230;14.2;0
20211231;12.5;0
20220101;11.5;0
20220102;10.2;5
20220103;9.9;18
20220104;8.65;7
20220105;6.45;1
20220106;6.5;1
20220107;6.5;8
20220108;7.25;16
20220109;6.75;0
20220110;5.85;0
20220111;5.6;0
20220112;6.2;0
20220113;6.21;0
20220114;6.65;1
20220115;6.55;2
20220116;6.75;2
20220117;7.95;0
20220118;7.8;0
20220119;7.1;3
20220120;6.65;1
20220121;6.7;1
20220122;7.35;1
20220123;6.9;1
20220124;6.05;0
20220125;5.55;0
20220126;6.05;0
20220127;7.95;2
20220128;7.55;1
20220129;9.3;1
20220130;6.65;1
20220131;6.5;1
20220201;8.1;2
20220202;9.7;1
20220203;8.5;1
20220204;8.05;2
20220205;6.45;2
20220206;8.05;17
20220207;6.15;0
20220208;9.55;1
20220209;8.8;0
20220210;7.51;10
20220211;6.0;1
20220212;5.0;2
20220213;6.15;2
20220214;7.9;2
20220215;8.15;8
20220216;11.7;6
20220217;8.4;1
20220218;8.15;2
20220219;6.3;0
20220220;9.05;7
20220221;6.95;4
20220222;8.65;3
20220223;7.3;0
20220224;6.65;3
20220225;6.1;1
20220226;5.55;1
20220227;4.35;0
20220228;4.45;0
20220301;5.2;1
20220302;5.35;1
20220303;5.6;0
20220304;4.8;0
20220305;4.55;0
20220306;4.65;0
20220307;3.85;0
20220308;3.35;0
20220309;4.45;0
20220310;5.4;0
20220311;6.7;0
20220312;8.35;0
20220313;8.35;0
20220314;8.05;0
20220315;8.4;4
20220316;9.45;0
20220317;7.75;0
20220318;5.95;0
20220319;5.6;0
20220320;5.35;0
20220321;7.05;0
20220322;6.45;0
20220323;5.75;0
20220324;5.55;0
20220325;6.7;0
20220326;7.05;0
20220327;9.65;1
20220328;9.0;1
20220329;8.9;2
20220330;7.65;2
20220331;6.75;2
20220401;5.9;3
20220402;4.5;2
20220403;4.4;1
20220404;7.0;7
20220405;10.5;3
20220406;8.85;2
20220407;8.5;5
20220408;6.95;4
20220409;6.2;0
20220410;6.2;0
20220411;6.3;0
20220412;8.65;0
20220413;11.8;0
20220414;11.4;0
20220415;9.95;0
20220416;7.9;0
20220417;5.05;0
20220418;5.8;0
20220419;7.25;0
20220420;6.71;0
20220421;7.6;0
20220422;8.6;0
20220423;9.15;0
20220424;7.7;0
20220425;8.35;1
20220426;8.25;0
20220427;7.75;1
20220428;7.85;0
20220429;8.65;0
20220430;7.45;0
20220501;7.35;0
20220502;7.45;0
20220503;8.05;0
20220504;9.05;0
20220505;10.85;0
20220506;10.45;0
20220507;11.3;1
20220508;10.95;0
20220509;9.85;0
20220510;11.35;0
20220511;11.35;0
20220512;10.9;0
20220513;9.15;0
20220514;9.8;0
20220515;10.3;0
20220516;12.6;0
20220517;12.65;0
20220518;13.9;0
20220519;15.15;3
20220520;14.45;10
20220521;11.0;0
20220522;12.05;0
20220523;13.9;7
20220524;10.85;1
20220525;10.1;0
20220526;12.45;0
20220527;11.5;1
20220528;8.7;0
20220529;8.9;1
20220530;8.35;0
20220531;8.55;1
20220601;8.75;0
20220602;9.2;0
20220603;10.4;0
20220604;13.7;6
20220605;17.55;11
20220606;12.1;0
20220607;13.25;8
20220608;14.1;13
20220609;12.6;2
20220610;13.1;0
20220611;14.2;0
20220612;11.25;0
20220613;10.9;0
20220614;9.85;0
20220615;11.8;0
20220616;12.3;0
20220617;12.95;0
20220618;16.0;0
20220619;13.7;2
20220620;12.1;1
20220621;11.35;0
20220622;12.0;0
20220623;15.75;11
20220624;17.3;5
20220625;15.2;6
20220626;14.6;0
20220627;14.2;6
20220628;12.05;0
20220629;13.25;0
20220630;13.85;12
20220701;12.2;0
20220702;12.15;0
20220703;12.65;0
20220704;12.15;0
20220705;12.15;0
20220706;11.75;0
20220707;13.75;0
20220708;12.3;0
20220709;13.6;0
20220710;12.0;0
20220711;14.45;0
20220712;13.85;0
20220713;13.95;0
20220714;14.25;0
20220715;11.4;0
20220716;11.01;0
20220717;10.21;0
20220718;10.01;0
20220719;11.7;0
20220720;16.35;2
20220721;17.5;1
20220722;14.7;0
20220723;15.05;0
20220724;15.05;0
20220725;14.3;0
20220726;14.3;0
20220727;10.5;0
20220728;10.65;0
20220729;11.85;0
20220730;12.7;0
20220731;15.9;0
20220801;16.5;1
20220802;15.1;0
20220803;15.7;0
20220804;17.45;5
20220805;15.45;0
20220806;9.95;0
20220807;10.8;0
20220808;12.35;0
20220809;13.15;0
20220810;12.2;0
20220811;11.05;0
20220812;10.4;0
20220813;9.85;0
20220814;10.9;0
20220815;15.1;0
20220816;15.6;2
20220817;17.55;4
20220818;17.4;0
20220819;17.25;0
20220820;14.0;0
20220821;12.6;0
20220822;13.3;0
20220823;15.0;0
20220824;16.2;0
20220825;15.15;0
20220826;16.6;0
20220827;13.3;0
20220828;11.85;0
20220829;11.0;0
20220830;12.4;2
20220831;13.05;0
20220901;11.75;0
20220902;11.55;0
20220903;14.8;2
20220904;14.65;0
20220905;14.1;10
20220906;16.45;3
20220907;15.65;4
20220908;14.85;4
20220909;14.5;9
20220910;15.55;1
20220911;15.0;0
20220912;13.6;0
20220913;16.1;8
20220914;17.2;18
20220915;12.81;0
20220916;11.05;6
20220917;11.15;6
20220918;10.2;1
20220919;10.6;0
20220920;10.8;0
20220921;9.95;0
20220922;9.0;0
20220923;9.95;0
20220924;12.75;3
20220925;11.45;1
20220926;11.2;10
20220927;10.3;6
20220928;9.75;0
20220929;8.95;0
20220930;9.6;10
20221001;12.55;4
20221002;13.35;8
20221003;10.5;0
20221004;11.15;0
20221005;12.85;1
20221006;10.35;0
20221007;9.7;0
20221008;10.4;0
20221009;8.8;0
20221010;10.85;0
20221011;8.75;0
20221012;9.3;0
20221013;12.1;1
20221014;14.4;0
20221015;14.2;2
20221016;13.8;0
20221017;16.15;5
20221018;14.85;0
20221019;12.5;0
20221020;14.2;3
20221021;14.25;0
20221022;13.55;0
20221023;13.75;0
20221024;12.45;2
20221025;12.55;0
20221026;13.4;0
20221027;13.75;0
20221028;14.15;0
20221029;14.05;0
20221030;13.0;0
20221031;13.15;0
20221101;11.1;0
20221102;9.75;0
20221103;10.5;4
20221104;9.95;1
20221105;8.85;0
20221106;9.55;3
20221107;11.55;0
20221108;10.55;0
20221109;10.8;0
20221110;9.75;0
20221111;9.45;0
20221112;9.25;0
20221113;8.7;0
20221114;8.05;1
20221115;11.6;4
20221116;10.71;10
20221117;10.01;2
20221118;9.3;1
20221119;8.8;6
20221120;8.2;1
20221121;8.1;3
20221122;8.1;1
20221123;8.7;5
20221124;9.05;3
20221125;9.6;1
20221126;8.5;0
20221127;7.8;4
20221128;9.3;2
20221129;8.0;0
20221130;8.2;0
20221201;7.85;0
20221202;6.8;0
20221203;5.7;0
20221204;5.65;3
20221205;6.25;4
20221206;7.5;0
20221207;7.45;1
20221208;6.4;0
20221209;5.25;0
20221210;5.1;0
20221211;5.2;0
20221212;4.25;0
20221213;3.75;0
20221214;3.8;0
20221215;3.5;0
20221216;4.7;0
20221217;3.85;0
20221218;3.9;4
20221219;8.3;2
20221220;10.1;13
20221221;10.5;13
20221222;11.35;7
20221223;11.0;11
20221224;10.25;0
20221225;10.95;7
20221226;9.35;2
20221227;7.15;0
20221228;9.35;4
20221229;9.1;1
20221230;9.5;7
20221231;12.2;0
20230101;9.8;5
20230102;10.45;6
20230103;8.5;2
20230104;10.9;5
20230105;10.8;2
20230106;10.5;1
20230107;9.45;2
20230108;8.65;6
20230109;7.75;5
20230110;7.65;5
20230111;10.15;5
20230112;9.7;7
20230113;8.0;0
20230114;8.9;14
20230115;7.05;3
20230116;6.85;7
20230117;5.2;0
20230118;5.0;0
20230119;5.75;0
20230120;5.85;4
20230121;5.1;0
20230122;5.25;0
20230123;5.9;0
20230124;5.45;0
20230125;5.15;0
20230126;6.0;1
20230127;6.45;0
20230128;5.2;0
20230129;4.95;0
20230130;7.25;1
20230131;7.4;1
20230201;7.75;0
20230202;8.45;0
20230203;9.35;1
20230204;10.05;1
20230205;7.85;1
20230206;6.45;0
20230207;5.4;0
20230208;3.95;0
20230209;4.1;0
20230210;6.65;0
20230211;8.45;0
20230212;8.2;0
20230213;7.0;0
20230214;6.7;0
20230215;6.55;0
20230216;8.15;0
20230217;10.9;1
20230218;10.8;3
20230219;9.4;0
20230220;8.1;0
20230221;8.55;0
20230222;8.15;3
20230223;9.45;0
20230224;7.25;0
20230225;5.9;0
20230226;4.2;0
20230227;4.4;0
20230228;4.1;0
20230301;4.15;0
20230302;4.7;0
20230303;5.55;0
20230304;6.15;0
20230305;6.55;1
20230306;6.15;2
20230307;6.75;10
20230308;6.85;22
20230309;10.6;12
20230310;8.75;5
20230311;5.05;0
20230312;7.95;2
20230313;11.1;3
20230314;8.4;8
20230315;6.1;0
20230316;6.05;0
20230317;7.6;3
20230318;10.6;4
20230319;10.0;3
20230320;8.0;0
20230321;9.4;0
20230322;9.95;1
20230323;10.65;5
20230324;9.9;3
20230325;8.3;2
20230326;8.2;7
20230327;5.95;0
20230328;5.45;0
20230329;8.65;0
20230330;10.3;7
20230331;10.3;10
20230401;10.1;7
20230402;8.2;0
20230403;5.4;0
20230404;4.8;0
20230405;4.85;0
20230406;7.3;6
20230407;9.1;1
20230408;8.5;0
20230409;7.65;0
20230410;8.05;5
20230411;8.3;4
20230412;8.5;9
20230413;7.5;3
20230414;7.1;0
20230415;8.15;0
20230416;8.85;0
20230417;9.25;0
20230418;8.35;0
20230419;7.8;0
20230420;6.15;1
20230421;8.05;1
20230422;9.95;3
20230423;10.0;4
20230424;8.85;4
20230425;7.01;0
20230426;5.9;0
20230427;6.95;5
20230428;12.25;2
20230429;10.0;0
20230430;9.2;0
20230501;10.15;2
20230502;9.3;0
20230503;7.45;0
20230504;9.55;0
20230505;12.5;1
20230506;11.95;0
20230507;13.7;6
20230508;14.2;0
20230509;13.0;16
20230510;12.25;5
20230511;11.4;8
20230512;13.0;6
20230513;11.65;0
20230514;12.25;0
20230515;10.25;1
20230516;8.4;0
20230517;8.4;0
20230518;7.55;0
20230519;8.0;0
20230520;9.85;0
20230521;12.45;0
20230522;13.5;0
20230523;11.25;0
20230524;8.8;0
20230525;9.7;0
20230526;9.1;0
20230527;9.45;0
20230528;10.15;0
20230529;10.1;0
20230530;9.05;0
20230531;11.2;0
20230601;11.7;0
20230602;9.35;0
20230603;9.3;0
20230604;8.0;0
20230605;11.0;0
20230606;11.8;0
20230607;13.35;0
20230608;13.65;0
20230609;13.25;0
20230610;12.5;0
20230611;14.15;0
20230612;12.85;0
20230613;10.95;0
20230614;10.35;0
20230615;10.35;0
20230616;10.95;0
20230617;11.3;1
20230618;14.8;2
20230619;16.1;0
20230620;17.8;10
20230621;17.45;0
20230622;16.75;19
20230623;15.5;0
20230624;13.7;0
20230625;14.55;0
20230626;13.5;0
20230627;12.35;0
20230628;14.65;0
20230629;16.7;4
20230630;13.1;1
20230701;14.35;2
20230702;12.25;0
20230703;11.5;0
20230704;12.65;5
20230705;12.4;2
20230706;11.15;0
20230707;12.0;0
20230708;15.8;2
20230709;18.75;4
20230710;14.7;0
20230711;14.85;1
20230712;13.6;1
20230713;12.75;0
20230714;12.55;0
20230715;14.35;6
20230716;13.35;0
20230717;13.1;1
20230718;11.65;0
20230719;12.8;0
20230720;13.6;0
20230721;12.6;0
20230722;11.1;0
20230723;14.45;11
20230724;16.45;11
20230725;12.45;0
20230726;11.85;3
20230727;16.15;17
20230728;18.45;4
20230729;16.45;6
20230730;14.1;1
20230731;16.2;17
20230801;15.05;3
20230802;16.0;16
20230803;15.05;4
20230804;13.8;1
20230805;13.45;13
20230806;13.55;8
20230807;11.55;0
20230808;13.1;2
20230809;14.0;1
20230810;12.25;0
20230811;16.6;4
20230812;17.9;2
20230813;14.1;0
20230814;15.15;1
20230815;16.65;0
20230816;16.8;0
20230817;17.0;0
20230818;20.0;0
20230819;20.4;1
20230820;17.35;0
20230821;15.6;0
20230822;15.25;0
20230823;16.35;1
20230824;18.8;12
20230825;17.8;23
20230826;12.2;1
20230827;13.0;1
20230828;12.9;1
20230829;13.35;1
20230830;12.6;6
20230831;12.7;6
20230901;17.05;7
20230902;17.5;0
20230903;16.7;0
20230904;14.5;0
20230905;15.0;0
20230906;15.85;0
20230907;15.3;0
20230908;17.9;0
20230909;19.05;0
20230910;18.15;0
20230911;17.4;0
20230912;18.5;5
20230913;16.3;0
20230914;12.95;0
20230915;12.95;0
20230916;15.4;5
20230917;19.1;2
20230918;16.95;2
20230919;12.95;0
20230920;14.5;0
20230921;14.75;12
20230922;12.25;8
20230923;11.1;0
20230924;10.5;0
20230925;11.1;0
20230926;12.7;0
20230927;13.91;0
20230928;14.51;0
20230929;15.5;2
20230930;12.1;0
20231001;13.0;0
20231002;14.65;0
20231003;13.8;0
20231004;11.4;0
20231005;11.7;0
20231006;11.65;0
20231007;13.3;0
20231008;13.05;0
20231009;13.7;0
20231010;12.25;0
20231011;12.45;1
20231012;14.95;4
20231013;16.7;3
20231014;10.9;2
20231015;8.05;1
20231016;7.6;0
20231017;7.8;0
20231018;9.95;8
20231019;14.6;2
20231020;14.7;8
20231021;12.05;3
20231022;11.8;2
20231023;10.7;5
20231024;11.1;3
20231025;10.8;11
20231026;10.85;10
